total_spend,CustomerID,customer_value
279489.02,14646.0,high_value
256438.49,18102.0,high_value
187482.17,17450.0,high_value
132572.62,14911.0,high_value
123725.45,12415.0,high_value
113384.14,14156.0,high_value
88125.38,17511.0,high_value
65892.08,16684.0,high_value
62653.1,13694.0,high_value
59419.34,15311.0,high_value
57385.88,13089.0,high_value
57120.91,14096.0,high_value
54228.74,15061.0,high_value
52750.84,17949.0,high_value
51823.72,15769.0,high_value
50992.61,16029.0,high_value
50862.44,14298.0,high_value
50415.49,14088.0,high_value
40340.78,17841.0,high_value
36351.42,13798.0,high_value
33805.69,16422.0,high_value
33462.81,12931.0,high_value
33366.25,16013.0,high_value
33350.76,15838.0,high_value
31300.08,17389.0,high_value
30300.82,17404.0,high_value
29072.1,12748.0,high_value
28658.88,13098.0,high_value
27964.48,13081.0,high_value
27487.41,13408.0,high_value
26932.34,14680.0,high_value
26763.34,17857.0,high_value
26626.8,16333.0,high_value
25748.35,13777.0,high_value
21535.9,15749.0,high_value
21086.3,16210.0,high_value
21024.01,12753.0,high_value
20272.43,17381.0,high_value
20098.1,17675.0,high_value
19786.44,15039.0,high_value
18793.41,12731.0,high_value
18740.92,12471.0,high_value
18573.68,15159.0,high_value
17588.26,12678.0,high_value
17078.45,17428.0,high_value
16989.52,13881.0,high_value
16945.71,13767.0,high_value
16389.74,12921.0,high_value
16293.1,12901.0,high_value
16219.22,17677.0,high_value
16173.67,15856.0,high_value
15802.14,15189.0,high_value
15477.34,14051.0,high_value
15357.78,16839.0,high_value
14634.64,14031.0,high_value
14520.08,15513.0,high_value
14305.66,16133.0,high_value
14197.45,14866.0,high_value
13946.13,16705.0,high_value
13677.59,12681.0,high_value
13612.07,12621.0,high_value
13375.87,12433.0,high_value
13309.04,12540.0,high_value
13117.01,12477.0,high_value
13110.02,17735.0,high_value
12650.08,14258.0,high_value
12433.34,15640.0,high_value
12432.28,13078.0,high_value
12396.46,15498.0,high_value
12393.7,16000.0,high_value
12288.22,12682.0,high_value
11990.96,12557.0,high_value
11895.57,16525.0,high_value
11891.18,17340.0,high_value
11713.85,14606.0,high_value
11581.8,12939.0,high_value
11341.1,14607.0,high_value
11216.75,14194.0,high_value
11117.05,15125.0,high_value
11056.93,12409.0,high_value
11020.26,14895.0,high_value
10930.26,12971.0,high_value
10736.48,13340.0,high_value
10736.11,17581.0,high_value
10664.34,13319.0,high_value
10641.6,14769.0,high_value
10585.57,17139.0,high_value
10510.0,13113.0,high_value
10464.85,14062.0,high_value
10454.05,16779.0,high_value
10380.43,17107.0,high_value
10360.04,15615.0,high_value
10327.11,15251.0,high_value
10217.48,16180.0,high_value
10183.82,16843.0,high_value
10158.54,17865.0,high_value
10097.37,17706.0,high_value
9861.38,12590.0,high_value
9803.96,13199.0,high_value
9797.92,13001.0,high_value
9623.35,15078.0,high_value
9537.92,13458.0,high_value
9451.54,14733.0,high_value
9295.67,16523.0,high_value
9294.1,12709.0,high_value
9231.2,14667.0,high_value
9167.82,14367.0,high_value
9120.39,12744.0,high_value
9114.94,12567.0,high_value
9065.76,18092.0,high_value
8986.69,13969.0,high_value
8933.52,12451.0,high_value
8910.61,13488.0,high_value
8727.61,16033.0,high_value
8689.39,13090.0,high_value
8628.55,17243.0,high_value
8600.73,17306.0,high_value
8574.11,17017.0,high_value
8568.24,16656.0,high_value
8393.22,18139.0,high_value
8257.04,16558.0,high_value
8234.8,15358.0,high_value
8221.09,12683.0,high_value
8124.4,14056.0,high_value
8117.42,14936.0,high_value
8093.59,16672.0,high_value
8025.02,13854.0,high_value
7925.32,18109.0,high_value
7912.79,14952.0,high_value
7904.28,14849.0,high_value
7877.2,12428.0,high_value
7839.51,14796.0,high_value
7829.89,12435.0,high_value
7803.77,15290.0,high_value
7792.36,13629.0,high_value
7741.47,13093.0,high_value
7711.38,14527.0,high_value
7677.71,17811.0,high_value
7629.38,15044.0,high_value
7521.17,15194.0,high_value
7490.17,18172.0,high_value
7454.07,13263.0,high_value
7330.8,17396.0,high_value
7276.9,18229.0,high_value
7272.75,13018.0,high_value
7187.34,12583.0,high_value
7170.7,16745.0,high_value
7116.47,12474.0,high_value
7092.06,12980.0,high_value
7076.28,16729.0,high_value
7072.8,13324.0,high_value
7066.31,16873.0,high_value
7024.53,13985.0,high_value
7006.58,14961.0,high_value
6989.63,12766.0,high_value
6977.04,12798.0,high_value
6945.02,15465.0,high_value
6912.0,13027.0,high_value
6854.51,12989.0,high_value
6841.24,16187.0,high_value
6840.23,16713.0,high_value
6838.34,17416.0,high_value
6814.24,12705.0,high_value
6763.16,15023.0,high_value
6752.14,18055.0,high_value
6748.8,16532.0,high_value
6748.4,12830.0,high_value
6745.36,15601.0,high_value
6703.3,13576.0,high_value
6694.31,16746.0,high_value
6675.71,16353.0,high_value
6666.83,16923.0,high_value
6657.36,15249.0,high_value
6654.26,16652.0,high_value
6617.65,16182.0,high_value
6612.18,17338.0,high_value
6568.72,15482.0,high_value
6546.58,12476.0,high_value
6530.04,15144.0,high_value
6500.6,16814.0,high_value
6423.6,15694.0,high_value
6416.39,12431.0,high_value
6389.8,13871.0,high_value
6388.35,12626.0,high_value
6336.29,13102.0,high_value
6315.23,18223.0,high_value
6287.77,16126.0,high_value
6249.11,13709.0,high_value
6245.53,12359.0,high_value
6229.48,12472.0,high_value
6216.07,13668.0,high_value
6207.67,12357.0,high_value
6204.46,17315.0,high_value
6180.49,15005.0,high_value
6147.4,14057.0,high_value
6135.38,14060.0,high_value
6102.26,15939.0,high_value
6100.74,17509.0,high_value
6083.04,13225.0,high_value
5976.79,14101.0,high_value
5953.25,12637.0,high_value
5927.86,15382.0,high_value
5893.32,13097.0,high_value
5845.44,13418.0,high_value
5842.95,14944.0,high_value
5820.16,13209.0,high_value
5818.7,14505.0,high_value
5815.49,13316.0,high_value
5811.56,14415.0,high_value
5807.69,14735.0,high_value
5756.89,15218.0,high_value
5739.46,17686.0,high_value
5725.47,13178.0,high_value
5713.28,12720.0,high_value
5684.61,13050.0,high_value
5669.65,14110.0,high_value
5664.57,16553.0,high_value
5656.75,13468.0,high_value
5639.15,14049.0,high_value
5613.43,13004.0,high_value
5613.08,13534.0,high_value
5595.77,18118.0,high_value
5594.78,17049.0,high_value
5590.86,12481.0,high_value
5585.49,17757.0,high_value
5583.62,12839.0,high_value
5580.6,16767.0,high_value
5541.46,15502.0,high_value
5505.79,17716.0,high_value
5461.62,16985.0,high_value
5452.17,15805.0,high_value
5450.96,16609.0,high_value
5423.15,16265.0,high_value
5417.93,12490.0,high_value
5367.8,17719.0,high_value
5361.02,18225.0,high_value
5352.97,16161.0,high_value
5315.92,13269.0,high_value
5305.83,16303.0,high_value
5303.97,15150.0,high_value
5288.83,17730.0,high_value
5288.63,17850.0,high_value
5203.51,16258.0,high_value
5192.1,18226.0,high_value
5178.96,15727.0,high_value
5155.66,17858.0,high_value
5154.58,12362.0,high_value
5150.27,16701.0,high_value
5145.12,13756.0,high_value
5126.34,15903.0,high_value
5116.13,17061.0,high_value
5107.38,14688.0,high_value
5083.06,18198.0,high_value
5064.01,15046.0,high_value
5059.32,12432.0,high_value
5055.79,13139.0,high_value
5050.77,17602.0,high_value
5043.96,15719.0,high_value
5040.0,16700.0,high_value
5030.6,13599.0,high_value
5028.12,15301.0,high_value
5022.26,17426.0,high_value
5005.46,12444.0,high_value
4965.38,14755.0,high_value
4954.84,15547.0,high_value
4928.74,14329.0,high_value
4913.32,16191.0,high_value
4912.41,13941.0,high_value
4911.14,14709.0,high_value
4896.66,12437.0,high_value
4892.24,17133.0,high_value
4873.81,12688.0,high_value
4867.99,12700.0,high_value
4863.88,12664.0,high_value
4834.2,15786.0,high_value
4819.33,14292.0,high_value
4801.56,17365.0,high_value
4788.77,15738.0,high_value
4786.99,13013.0,high_value
4758.2,15555.0,high_value
4748.45,17690.0,high_value
4737.13,17652.0,high_value
4734.26,12955.0,high_value
4711.21,16722.0,high_value
4709.22,14562.0,high_value
4708.86,12714.0,high_value
4690.31,14135.0,high_value
4684.24,15152.0,high_value
4678.3,14159.0,high_value
4670.08,15187.0,high_value
4660.01,14191.0,high_value
4640.77,14180.0,high_value
4627.62,17809.0,high_value
4604.31,14189.0,high_value
4604.22,16931.0,high_value
4596.51,15291.0,high_value
4595.81,14286.0,high_value
4592.47,14390.0,high_value
4582.64,14004.0,high_value
4531.34,17068.0,high_value
4509.37,17613.0,high_value
4495.27,12484.0,high_value
4485.72,12524.0,high_value
4478.53,12627.0,high_value
4464.1,15032.0,high_value
4455.73,17364.0,high_value
4435.79,14085.0,high_value
4410.14,15093.0,high_value
4404.44,13267.0,high_value
4393.61,17975.0,high_value
4392.42,16984.0,high_value
4389.81,15955.0,high_value
4379.65,16626.0,high_value
4366.78,12752.0,high_value
4345.5,16945.0,high_value
4330.67,15874.0,high_value
4328.46,14016.0,high_value
4314.72,18251.0,high_value
4310.0,12347.0,high_value
4301.22,17937.0,high_value
4282.88,13505.0,high_value
4277.66,15034.0,high_value
4263.64,14422.0,high_value
4241.63,12712.0,high_value
4236.34,14800.0,high_value
4227.7,12757.0,high_value
4221.37,14525.0,high_value
4206.27,12500.0,high_value
4204.1,17920.0,high_value
4200.97,17419.0,high_value
4199.85,15971.0,high_value
4196.01,12747.0,high_value
4161.14,18041.0,high_value
4154.64,16549.0,high_value
4149.28,13555.0,high_value
4143.02,12949.0,high_value
4122.28,13384.0,high_value
4109.97,15570.0,high_value
4106.82,12536.0,high_value
4098.8,13988.0,high_value
4075.35,14534.0,high_value
4073.28,16592.0,high_value
4067.29,12449.0,high_value
4064.99,12569.0,high_value
4063.1,14092.0,high_value
4061.24,16401.0,high_value
4039.98,14401.0,high_value
4022.46,16670.0,high_value
4014.91,13815.0,high_value
4012.56,17567.0,high_value
4008.62,12378.0,high_value
3991.94,16186.0,high_value
3989.57,17001.0,high_value
3986.74,14547.0,high_value
3986.22,12867.0,high_value
3982.72,12656.0,high_value
3979.04,12957.0,high_value
3974.37,15416.0,high_value
3967.78,15529.0,high_value
3960.63,17769.0,high_value
3957.78,13183.0,high_value
3957.0,14277.0,high_value
3947.87,17611.0,high_value
3947.7,12727.0,high_value
3925.92,17377.0,high_value
3918.9,14426.0,high_value
3911.56,17593.0,high_value
3906.27,13802.0,high_value
3899.1,14739.0,high_value
3886.67,17651.0,high_value
3876.4,12841.0,high_value
3873.3,14291.0,high_value
3868.7,12779.0,high_value
3868.2,12749.0,high_value
3866.33,13124.0,high_value
3865.26,13999.0,high_value
3864.44,18073.0,high_value
3861.0,15195.0,high_value
3852.5,12539.0,high_value
3848.55,15804.0,high_value
3844.22,16327.0,high_value
3817.08,12662.0,high_value
